# =============================================================================
# MINISTEAM - Cache de Traduções
# Formato: idioma_destino | texto_origem || texto_traduzido
# Quebras de linha e pipes escapados como \n e \|
# =============================================================================
en | Lista de Desejos || Wish List
pl | Isto irá limpar os cookies e APAGAR todos os dados (amizades, famílias, bibliotecas, carteiras e sessões). As contas de usuário serão mantidas. Continuar? || Spowoduje to wyczyszczenie plików cookie i USUNIĘCIE wszystkich danych (znajomych, rodzin, bibliotek, portfeli i sesji). Konta użytkowników zostaną utrzymane. Kontynuować?
ko | Isto irá limpar os cookies e APAGAR todos os dados (amizades, famílias, bibliotecas, carteiras e sessões). As contas de usuário serão mantidas. Continuar? || 이렇게 하면 쿠키가 지워지고 모든 데이터(친구, 가족, 도서관, 지갑 및 세션)가 삭제됩니다. 사용자 계정은 유지됩니다. 계속하다?
en | Seu carrinho está vazio. || Your cart is empty.
de | Seu carrinho está vazio. || Ihr Warenkorb ist leer.
zh-cn | Seu carrinho está vazio. || 您的购物车是空的。
pl | Seu carrinho está vazio. || Twój koszyk jest pusty.
ko | Seu carrinho está vazio. || 장바구니가 비어 있습니다.
en | Tem certeza? Esta ação transfere a fundação da família para || He is sure? This action transfers the family foundation to
de | Tem certeza? Esta ação transfere a fundação da família para || Er ist sicher? Mit dieser Aktion wird die Familienstiftung auf übertragen
zh-cn | Tem certeza? Esta ação transfere a fundação da família para || 他确定吗？这一行动将家族基金会转移到
pl | Tem certeza? Esta ação transfere a fundação da família para || Jest pewien? Akcja ta przenosi fundację rodzinną na
ko | Tem certeza? Esta ação transfere a fundação da família para || 그 사람이 확실해요? 이 조치는 가족 기반을 다음으로 이전합니다.
en | Lançamento: || Launch:
de | Lançamento: || Start:
zh-cn | Lançamento: || 发射：
pl | Lançamento: || Początek:
ko | Lançamento: || 시작하다:
en | presente para || gift for
de | presente para || Geschenk für
zh-cn | presente para || 给的礼物
pl | presente para || prezent dla
ko | presente para || 를 위한 선물
en | Editar sua análise || Edit your analysis
de | Editar sua análise || Bearbeiten Sie Ihre Analyse
zh-cn | Editar sua análise || 编辑您的分析
pl | Editar sua análise || Edytuj swoją analizę
ko | Editar sua análise || 분석 편집
en | jogadas || moves
de | jogadas || bewegt sich
zh-cn | jogadas || 动作
pl | jogadas || porusza się
ko | jogadas || 움직임
en | Recomendado || Recommended
de | Recomendado || Empfohlen
zh-cn | Recomendado || 受到推崇的
pl | Recomendado || Zalecony
ko | Recomendado || 추천
en | ATIVADO || ON
de | ATIVADO || AN
zh-cn | ATIVADO || 在
pl | ATIVADO || NA
ko | ATIVADO || 에
en | Todos os Idiomas || All Languages
de | Todos os Idiomas || Alle Sprachen
zh-cn | Todos os Idiomas || 所有语言
pl | Todos os Idiomas || Wszystkie języki
ko | Todos os Idiomas || 모든 언어
en | Loja || Store
de | Loja || Speichern
zh-cn | Loja || 店铺
pl | Loja || Sklep
ko | Loja || 가게
en | Criar conta grátis || Create free account
de | Criar conta grátis || Kostenloses Konto erstellen
zh-cn | Criar conta grátis || 创建免费帐户
ko | Criar conta grátis || 무료 계정 만들기
en | Todos os Jogos || All Games
de | Todos os Jogos || Alle Spiele
zh-cn | Todos os Jogos || 所有游戏
pl | Todos os Jogos || Wszystkie gry
ko | Todos os Jogos || 모든 게임
de | jogo(s) na sua lista de desejos. || Spiel(e) auf Ihrer Wunschliste.
zh-cn | jogo(s) na sua lista de desejos. || 您心愿单上的游戏。
pl | jogo(s) na sua lista de desejos. || gry na Twojej liście życzeń.
ko | jogo(s) na sua lista de desejos. || 위시리스트에 있는 게임.
en | Adicionar fundos || Add funds
de | Adicionar fundos || Geld hinzufügen
zh-cn | Adicionar fundos || 添加资金
pl | Adicionar fundos || Dodaj środki
ko | Adicionar fundos || 자금 추가
en | Selecione sua conta || Select your account
de | Selecione sua conta || Wählen Sie Ihr Konto aus
zh-cn | Selecione sua conta || 选择您的帐户
pl | Selecione sua conta || Wybierz swoje konto
ko | Selecione sua conta || 계정을 선택하세요
en | Você ainda não tem amigos adicionados. || You have no friends added yet.
de | Você ainda não tem amigos adicionados. || Du hast noch keine Freunde hinzugefügt.
pl | Você ainda não tem amigos adicionados. || Nie masz jeszcze dodanych znajomych.
ko | Você ainda não tem amigos adicionados. || 아직 추가된 친구가 없습니다.
en | Ao carrinho || To cart
de | Ao carrinho || Zum Warenkorb
zh-cn | Ao carrinho || 到购物车
pl | Ao carrinho || Do koszyka
ko | Ao carrinho || 장바구니에
en | Este membro se tornará o novo lider da família. Você continuará como membro comum. Esta ação não pode ser desfeita sem a cooperação do novo líder. || This member will become the new leader of the family. You will continue as a regular member. This action cannot be undone without the cooperation of the new leader.
de | Este membro se tornará o novo lider da família. Você continuará como membro comum. Esta ação não pode ser desfeita sem a cooperação do novo líder. || Dieses Mitglied wird das neue Oberhaupt der Familie. Sie bleiben weiterhin ordentliches Mitglied. Diese Aktion kann ohne die Mitarbeit des neuen Leiters nicht rückgängig gemacht werden.
zh-cn | Este membro se tornará o novo lider da família. Você continuará como membro comum. Esta ação não pode ser desfeita sem a cooperação do novo líder. || 这位成员将成为家庭的新领导者。您将继续作为正式会员。如果没有新领导人的合作，这一行动将无法撤销。
pl | Este membro se tornará o novo lider da família. Você continuará como membro comum. Esta ação não pode ser desfeita sem a cooperação do novo líder. || Członek ten stanie się nowym przywódcą rodziny. Będziesz kontynuować jako zwykły członek. Tej akcji nie da się cofnąć bez współpracy nowego lidera.
ko | Este membro se tornará o novo lider da família. Você continuará como membro comum. Esta ação não pode ser desfeita sem a cooperação do novo líder. || 이 구성원은 가족의 새로운 지도자가 될 것입니다. 계속 정회원으로 활동하게 됩니다. 이 조치는 새 지도자의 협조 없이는 취소될 수 없습니다.
en | Salvar Alterações || Save Changes
de | Salvar Alterações || Änderungen speichern
zh-cn | Salvar Alterações || 保存更改
pl | Salvar Alterações || Zapisz zmiany
ko | Salvar Alterações || 변경 사항 저장
en | Transferir Liderança para este Membro || Transfer Leadership to this Member
de | Transferir Liderança para este Membro || Übertragen Sie die Führung auf dieses Mitglied
zh-cn | Transferir Liderança para este Membro || 将领导权移交给该成员
pl | Transferir Liderança para este Membro || Przenieś przywództwo na tego członka
ko | Transferir Liderança para este Membro || 이 회원에게 리더십 이전
en | Ver Detalhes || View Details
de | Ver Detalhes || Details anzeigen
zh-cn | Ver Detalhes || 查看详情
pl | Ver Detalhes || Zobacz szczegóły
ko | Ver Detalhes || 세부정보 보기
en | Use apenas letras, números e underscore || Use only letters, numbers and underscores
de | Use apenas letras, números e underscore || Verwenden Sie nur Buchstaben, Zahlen und Unterstriche
zh-cn | Use apenas letras, números e underscore || 仅使用字母、数字和下划线
pl | Use apenas letras, números e underscore || Używaj tylko liter, cyfr i podkreśleń
ko | Use apenas letras, números e underscore || 문자, 숫자, 밑줄만 사용하세요.
en | Todos os jogos || All games
de | Todos os jogos || Alle Spiele
zh-cn | Todos os jogos || 所有游戏
pl | Todos os jogos || Wszystkie gry
ko | Todos os jogos || 모든 게임
en | Escolha um valor para comprar saldo. Você escolherá a forma de pagamento na próxima etapa. || Choose an amount to buy balance. You will choose your payment method in the next step.
de | Escolha um valor para comprar saldo. Você escolherá a forma de pagamento na próxima etapa. || Wählen Sie einen Betrag aus, um das Guthaben zu kaufen. Im nächsten Schritt wählen Sie Ihre Zahlungsart aus.
zh-cn | Escolha um valor para comprar saldo. Você escolherá a forma de pagamento na próxima etapa. || 选择购买余额的金额。您将在下一步中选择付款方式。
pl | Escolha um valor para comprar saldo. Você escolherá a forma de pagamento na próxima etapa. || Wybierz kwotę zakupu salda. Metodę płatności wybierzesz w kolejnym kroku.
ko | Escolha um valor para comprar saldo. Você escolherá a forma de pagamento na próxima etapa. || 잔액을 구매할 금액을 선택하세요. 다음 단계에서 결제 방법을 선택하게 됩니다.
de | Lista de Desejos || Wunschliste
zh-cn | Lista de Desejos || 愿望清单
pl | Lista de Desejos || Lista życzeń
ko | Lista de Desejos || 위시리스트
en | Minha Carteira Steam || My Steam Wallet
de | Minha Carteira Steam || Mein Steam-Wallet
zh-cn | Minha Carteira Steam || 我的 Steam 钱包
pl | Minha Carteira Steam || Mój portfel Steam
ko | Minha Carteira Steam || 내 Steam 지갑
en | Formas de Pagamento || Payment Methods
de | Formas de Pagamento || Zahlungsmethoden
zh-cn | Formas de Pagamento || 付款方式
pl | Formas de Pagamento || Metody płatności
ko | Formas de Pagamento || 결제 방법
en | Cancelar || Cancel
de | Cancelar || Stornieren
zh-cn | Cancelar || 取消
pl | Cancelar || Anulować
ko | Cancelar || 취소
en | Criar um Novo Grupo Familiar || Create a New Family Group
de | Criar um Novo Grupo Familiar || Erstellen Sie eine neue Familiengruppe
zh-cn | Criar um Novo Grupo Familiar || 创建新的家庭组
pl | Criar um Novo Grupo Familiar || Utwórz nową grupę rodzinną
ko | Criar um Novo Grupo Familiar || 새 가족 그룹 만들기
en | Minha Biblioteca || My Library
de | Minha Biblioteca || Meine Bibliothek
pl | Minha Biblioteca || Moja biblioteka
ko | Minha Biblioteca || 내 라이브러리
en | Selecione um amigo... || Select a friend...
de | Selecione um amigo... || Wählen Sie einen Freund aus...
zh-cn | Selecione um amigo... || 选择一个朋友...
pl | Selecione um amigo... || Wybierz znajomego...
ko | Selecione um amigo... || 친구를 선택하세요...
en | Adicionar || To add
de | Adicionar || Zum Hinzufügen
zh-cn | Adicionar || 添加
pl | Adicionar || Aby dodać
ko | Adicionar || 추가하려면
en | Deseja comprar uma licença adicional para o pool da família? || Do you want to purchase an additional license for your family pool?
de | Deseja comprar uma licença adicional para o pool da família? || Sie möchten eine Zusatzlizenz für Ihren Familienpool erwerben?
zh-cn | Deseja comprar uma licença adicional para o pool da família? || 您想为您的家庭泳池购买额外的许可证吗？
pl | Deseja comprar uma licença adicional para o pool da família? || Chcesz kupić dodatkową licencję na swoją rodzinną pulę?
ko | Deseja comprar uma licença adicional para o pool da família? || 가족 풀에 대한 추가 라이선스를 구매하시겠습니까?
en | Classificação Indicativa: || Indicative Rating:
de | Classificação Indicativa: || Indikative Bewertung:
zh-cn | Classificação Indicativa: || 指示性评级：
pl | Classificação Indicativa: || Ocena orientacyjna:
ko | Classificação Indicativa: || 지표 등급:
en | Nenhuma análise encontrada para este filtro. || No reviews found for this filter.
de | Nenhuma análise encontrada para este filtro. || Für diesen Filter wurden keine Bewertungen gefunden.
zh-cn | Nenhuma análise encontrada para este filtro. || 没有找到对此过滤器的评论。
pl | Nenhuma análise encontrada para este filtro. || Nie znaleziono recenzji tego filtra.
ko | Nenhuma análise encontrada para este filtro. || 이 필터에 대한 리뷰를 찾을 수 없습니다.
en | Voltar ao Carrinho || Return to Cart
de | Voltar ao Carrinho || Zurück zum Warenkorb
zh-cn | Voltar ao Carrinho || 返回购物车
pl | Voltar ao Carrinho || Wróć do koszyka
ko | Voltar ao Carrinho || 장바구니로 돌아가기
en | Recomendados || Recommended
de | Recomendados || Empfohlen
zh-cn | Recomendados || 受到推崇的
pl | Recomendados || Zalecony
ko | Recomendados || 추천
en | Usar saldo da minha Carteira Steam || Use my Steam Wallet balance
de | Usar saldo da minha Carteira Steam || Verwenden Sie mein Steam-Wallet-Guthaben
zh-cn | Usar saldo da minha Carteira Steam || 使用我的 Steam 钱包余额
pl | Usar saldo da minha Carteira Steam || Użyj salda mojego Portfela Steam
ko | Usar saldo da minha Carteira Steam || 내 Steam 지갑 잔액을 사용하세요
en | Lider || Leader
de | Lider || Führer
zh-cn | Lider || 领导者
pl | Lider || Lider
ko | Lider || 지도자
en | Até 5 sugestões baseadas na sua rede de amigos. || Up to 5 suggestions based on your redand friends.
de | Até 5 sugestões baseadas na sua rede de amigos. || Bis zu 5 Vorschläge basierend auf Ihrem redund Ihren Freunden.
zh-cn | Até 5 sugestões baseadas na sua rede de amigos. || 根据您的 red 和朋友最多提供 5 个建议。
pl | Até 5 sugestões baseadas na sua rede de amigos. || Do 5 sugestii na podstawie Twoich redi znajomych.
ko | Até 5 sugestões baseadas na sua rede de amigos. || 귀하의 red과 친구들을 기반으로 최대 5개의 제안을 제공합니다.
en | Use o saldo da sua Carteira para comprar jogos na loja sem precisar de outro meio de pagamento. || Use your Wallet balance to purchase games in the store without needing another payment method.
de | Use o saldo da sua Carteira para comprar jogos na loja sem precisar de outro meio de pagamento. || Verwenden Sie Ihr Wallet-Guthaben, um Spiele im Store zu kaufen, ohne eine andere Zahlungsmethode zu benötigen.
zh-cn | Use o saldo da sua Carteira para comprar jogos na loja sem precisar de outro meio de pagamento. || 使用您的电子钱包余额在商店中购买游戏，无需其他付款方式。
pl | Use o saldo da sua Carteira para comprar jogos na loja sem precisar de outro meio de pagamento. || Użyj salda w Portfelu, aby kupować gry w sklepie bez konieczności stosowania innej metody płatności.
ko | Use o saldo da sua Carteira para comprar jogos na loja sem precisar de outro meio de pagamento. || 다른 결제 수단 없이 월렛 잔액을 사용하여 스토어에서 게임을 구매할 수 있습니다.
en | Logado como: || Logged in as:
de | Logado como: || Angemeldet als:
zh-cn | Logado como: || 登录身份：
pl | Logado como: || Zalogowałem się jako:
ko | Logado como: || 다음 계정으로 로그인됨:
en | Fundada por || Founded by
de | Fundada por || Gegründet von
zh-cn | Fundada por || 创立者：
pl | Fundada por || Założona przez
ko | Fundada por || 설립자:
en | Indisponível || Unavailable
de | Indisponível || Nicht verfügbar
zh-cn | Indisponível || 不可用
pl | Indisponível || Nie płynny
ko | Indisponível || 없는
en | Transferir Liderança || Transfer Leadership
de | Transferir Liderança || Führung übertragen
zh-cn | Transferir Liderança || 转移领导权
pl | Transferir Liderança || Przeniesienie przywództwa
ko | Transferir Liderança || 리더십 이전
en | Avaliações: || Reviews:
de | Avaliações: || Rezensionen:
zh-cn | Avaliações: || 评论：
pl | Avaliações: || Recenzje:
ko | Avaliações: || 리뷰:
en | até || until
de | até || bis
zh-cn | até || 直到
pl | até || dopóki
ko | até || ~까지
en | Trocas restantes: || Remaining exchanges:
de | Trocas restantes: || Verbleibende Umtausche:
zh-cn | Trocas restantes: || 剩余兑换：
pl | Trocas restantes: || Pozostałe wymiany:
ko | Trocas restantes: || 남은 교환:
en | Ex: 75.00 || Ex: 75.00
de | Ex: 75.00 || Beispiel: 75,00
zh-cn | Ex: 75.00 || 例如：75.00
pl | Ex: 75.00 || Np.: 75,00
ko | Ex: 75.00 || 예: 75.00
en | Resumo do Pedido || Summary of Pedido
de | Resumo do Pedido || Zusammenfassung von Pedido
zh-cn | Resumo do Pedido || Pedido 概要
pl | Resumo do Pedido || Podsumowanie Pedido
ko | Resumo do Pedido || Pedido 요약
en | Data de Nascimento || Date of birth
de | Data de Nascimento || Geburtsdatum
zh-cn | Data de Nascimento || 出生日期
pl | Data de Nascimento || Data urodzenia
ko | Data de Nascimento || 생일
en | Ver meu Carrinho || View my Cart
de | Ver meu Carrinho || Sehen Sie sich meinen Warenkorb an
zh-cn | Ver meu Carrinho || 查看我的购物车
pl | Ver meu Carrinho || Zobacz mój koszyk
ko | Ver meu Carrinho || 내 장바구니 보기
en | Na biblioteca || In the library
de | Na biblioteca || In der Bibliothek
zh-cn | Na biblioteca || 在图书馆
pl | Na biblioteca || W bibliotece
ko | Na biblioteca || 도서관에서
en | ex: joao_silva || ex: joao_silva
de | ex: joao_silva || Beispiel: joao_silva
zh-cn | ex: joao_silva || 例如：joao_席尔瓦
pl | ex: joao_silva || np.: joao_silva
ko | ex: joao_silva || 예: joao_실바
en | O saldo não cobre o total. Selecione um método complementar para os restantes || The balance does not cover the total. Select a complementary method for the remaining ones
de | O saldo não cobre o total. Selecione um método complementar para os restantes || Der Restbetrag deckt nicht die Gesamtsumme ab. Wählen Sie für die übrigen eine ergänzende Methode aus
zh-cn | O saldo não cobre o total. Selecione um método complementar para os restantes || 余额不包括总额。为其余方法选择补充方法
pl | O saldo não cobre o total. Selecione um método complementar para os restantes || Saldo nie obejmuje całości. Dla pozostałych wybierz metodę uzupełniającą
ko | O saldo não cobre o total. Selecione um método complementar para os restantes || 잔액은 총액을 포함하지 않습니다. 나머지에 대해서는 보완적인 방법을 선택
en | Finalizar sessão || End session
de | Finalizar sessão || Sitzung beenden
zh-cn | Finalizar sessão || 结束会话
pl | Finalizar sessão || Zakończ sesję
ko | Finalizar sessão || 세션 종료
en | Método complementar indisponível. || Complementary method unavailable.
de | Método complementar indisponível. || Komplementäre Methode nicht verfügbar.
zh-cn | Método complementar indisponível. || 无法使用补充方法。
pl | Método complementar indisponível. || Metoda uzupełniająca niedostępna.
ko | Método complementar indisponível. || 보완적인 방법을 사용할 수 없습니다.
en | Selecione um método de pagamento para o valor total de || Select a payment method for the total amount of
de | Selecione um método de pagamento para o valor total de || Wählen Sie eine Zahlungsmethode für den Gesamtbetrag aus
zh-cn | Selecione um método de pagamento para o valor total de || 选择总金额的付款方式
pl | Selecione um método de pagamento para o valor total de || Wybierz metodę płatności za łączną kwotę
ko | Selecione um método de pagamento para o valor total de || 총 금액에 대한 결제 방법을 선택하세요.
en | Configurações do membro || Member Settings
de | Configurações do membro || Mitgliedereinstellungen
zh-cn | Configurações do membro || 会员设置
pl | Configurações do membro || Ustawienia członkowskie
ko | Configurações do membro || 회원 설정
en | Você recomenda este jogo? || Do you recommend this game?
de | Você recomenda este jogo? || Empfehlen Sie dieses Spiel?
zh-cn | Você recomenda este jogo? || 你推荐这个游戏吗？
pl | Você recomenda este jogo? || Czy polecasz tę grę?
ko | Você recomenda este jogo? || 이 게임을 추천하시나요?
en | Comentários || Comments
de | Comentários || Kommentare
zh-cn | Comentários || 评论
pl | Comentários || Uwagi
ko | Comentários || 댓글
en | Ainda não há comentários. Seja o primeiro! || There are no comments yet. Be the first!
de | Ainda não há comentários. Seja o primeiro! || Es liegen noch keine Kommentare vor. Seien Sie der Erste!
zh-cn | Ainda não há comentários. Seja o primeiro! || 还没有评论。成为第一！
pl | Ainda não há comentários. Seja o primeiro! || Nie ma jeszcze żadnych komentarzy. Bądź pierwszy!
ko | Ainda não há comentários. Seja o primeiro! || 아직 댓글이 없습니다. 첫 번째가 되세요!
en | nos jogos que quiser acompanhar. || in the games you want to follow.
de | nos jogos que quiser acompanhar. || in den Spielen, die Sie verfolgen möchten.
zh-cn | nos jogos que quiser acompanhar. || 在您想要关注的游戏中。
pl | nos jogos que quiser acompanhar. || w grach, które chcesz śledzić.
ko | nos jogos que quiser acompanhar. || 당신이 팔로우하고 싶은 게임에서.
en | Adicionar ao Carrinho || Add to Cart
de | Adicionar ao Carrinho || in den Warenkorb legen
zh-cn | Adicionar ao Carrinho || 添加到购物车
pl | Adicionar ao Carrinho || Dodaj do koszyka
ko | Adicionar ao Carrinho || 장바구니에 추가
en | Adicione amigos para que possamos sugerir amigos deles! || Add friends so we can suggest their friends!
de | Adicione amigos para que possamos sugerir amigos deles! || Füge Freunde hinzu, damit wir ihre Freunde vorschlagen können!
zh-cn | Adicione amigos para que possamos sugerir amigos deles! || 添加朋友，以便我们推荐他们的朋友！
pl | Adicione amigos para que possamos sugerir amigos deles! || Dodaj znajomych, abyśmy mogli zasugerować ich znajomych!
ko | Adicione amigos para que possamos sugerir amigos deles! || 우리가 친구를 추천할 수 있도록 친구를 추가하세요!
en | Todos os seus amigos já fazem parte desta família! || All your friends are already part of this family!
de | Todos os seus amigos já fazem parte desta família! || Alle deine Freunde sind bereits Teil dieser Familie!
pl | Todos os seus amigos já fazem parte desta família! || Wszyscy Twoi znajomi są już częścią tej rodziny!
ko | Todos os seus amigos já fazem parte desta família! || 모든 친구들은 이미 이 가족의 일원입니다!
en | para || to
de | para || Zu
zh-cn | para || 到
pl | para || Do
ko | para || 에게
en | Ver Família || See Family
de | Ver Família || Siehe Familie
zh-cn | Ver Família || 查看家人
pl | Ver Família || Zobacz Rodzina
ko | Ver Família || 가족 보기
en | Confirmar e Pagar || Confirm and Pay
de | Confirmar e Pagar || Bestätigen und bezahlen
zh-cn | Confirmar e Pagar || 确认并付款
pl | Confirmar e Pagar || Potwierdź i zapłać
ko | Confirmar e Pagar || 확인 및 결제
en | Nenhum jogo na biblioteca ainda. || No games in the library yet.
de | Nenhum jogo na biblioteca ainda. || Noch keine Spiele in der Bibliothek.
zh-cn | Nenhum jogo na biblioteca ainda. || 库中还没有游戏。
pl | Nenhum jogo na biblioteca ainda. || Nie ma jeszcze żadnych gier w bibliotece.
ko | Nenhum jogo na biblioteca ainda. || 아직 라이브러리에 게임이 없습니다.
en | Inglês || English
de | Inglês || Englisch
zh-cn | Inglês || 英语
pl | Inglês || angielski
ko | Inglês || 영어
en | Ex: 30.00 || Ex: 30.00
de | Ex: 30.00 || Beispiel: 30.00
zh-cn | Ex: 30.00 || 例如：30:00
pl | Ex: 30.00 || Np.: 30.00
ko | Ex: 30.00 || 예: 30.00
en | Pesquisar amigo por nome... || Search friend by name...
de | Pesquisar amigo por nome... || Freund nach Namen suchen...
zh-cn | Pesquisar amigo por nome... || 按名字搜索好友...
pl | Pesquisar amigo por nome... || Wyszukaj znajomego po imieniu...
ko | Pesquisar amigo por nome... || 이름으로 친구 검색...
en | Escreva o que você achou do jogo... || Write what you thought of the game...
de | Escreva o que você achou do jogo... || Schreiben Sie, was Sie von dem Spiel halten ...
zh-cn | Escreva o que você achou do jogo... || 写下你对这个游戏的看法...
pl | Escreva o que você achou do jogo... || Napisz co myślisz o grze...
ko | Escreva o que você achou do jogo... || 게임에 대해 어떻게 생각하는지 적어보세요.
en | Entrar || To enter
de | Entrar || Eintreten
zh-cn | Entrar || 进入
pl | Entrar || Aby wejść
ko | Entrar || 들어가려면
en | Revisão e Pagamento || Review and Payment
de | Revisão e Pagamento || Überprüfung und Zahlung
zh-cn | Revisão e Pagamento || 审核及付款
pl | Revisão e Pagamento || Przegląd i płatność
